customer_id,customer_name,email,phone,registration_date,loyalty_points
CUST_1000,Customer 100,customer100@email.com,555-3033,2024-12-19,145
CUST_1001,Customer 101,customer101@email.com,555-5388,2025-06-08,431
CUST_1002,Customer 102,customer102@email.com,555-9896,2025-08-27,398
CUST_1003,Customer 103,customer103@email.com,555-9056,2024-11-29,963
CUST_1004,Customer 104,customer104@email.com,555-2828,2025-09-08,996
CUST_1005,Customer 105,customer105@email.com,555-5805,2025-01-17,439
CUST_1006,Customer 106,customer106@email.com,555-8486,2025-01-10,343
CUST_1007,Customer 107,customer107@email.com,555-9202,2025-09-07,844
CUST_1008,Customer 108,customer108@email.com,555-8878,2025-09-17,771
CUST_1009,Customer 109,customer109@email.com,555-6690,2025-08-28,659
CUST_1010,Customer 110,customer110@email.com,555-6429,2025-03-10,492
CUST_1011,Customer 111,customer111@email.com,555-2389,2024-12-13,106
CUST_1012,Customer 112,customer112@email.com,555-1824,2025-04-04,936
CUST_1013,Customer 113,customer113@email.com,555-7402,2025-02-19,516
CUST_1014,Customer 114,customer114@email.com,555-2796,2025-09-15,46
CUST_1015,Customer 115,customer115@email.com,555-1726,2025-05-15,520
CUST_1016,Customer 116,customer116@email.com,555-2913,2025-03-12,572
CUST_1017,Customer 117,customer117@email.com,555-8657,2025-05-14,849
CUST_1018,Customer 118,customer118@email.com,555-8312,2025-04-06,2
CUST_1019,Customer 119,customer119@email.com,555-8906,2025-02-12,119
CUST_1020,Customer 120,customer120@email.com,555-1892,2025-08-11,328
CUST_1021,Customer 121,customer121@email.com,555-5675,2024-11-16,609
CUST_1022,Customer 122,customer122@email.com,555-2290,2025-07-26,951
CUST_1023,Customer 123,customer123@email.com,555-8490,2025-07-08,987
CUST_1024,Customer 124,customer124@email.com,555-2218,2025-03-27,331
CUST_1025,Customer 125,customer125@email.com,555-1954,2025-03-27,983
CUST_1026,Customer 126,customer126@email.com,555-8291,2025-10-01,327
CUST_1027,Customer 127,customer127@email.com,555-6370,2025-05-16,601
CUST_1028,Customer 128,customer128@email.com,555-9228,2024-12-27,687
CUST_1029,Customer 129,customer129@email.com,555-4020,2025-01-28,964
CUST_1030,Customer 130,customer130@email.com,555-6068,2025-08-19,113
CUST_1031,Customer 131,customer131@email.com,555-1317,2024-11-24,114
CUST_1032,Customer 132,customer132@email.com,555-3745,2024-12-20,567
CUST_1033,Customer 133,customer133@email.com,555-7183,2024-11-26,972
CUST_1034,Customer 134,customer134@email.com,555-2312,2025-02-19,215
CUST_1035,Customer 135,customer135@email.com,555-8314,2024-12-07,167
CUST_1036,Customer 136,customer136@email.com,555-3139,2024-11-20,570
CUST_1037,Customer 137,customer137@email.com,555-2704,2025-02-12,362
CUST_1038,Customer 138,customer138@email.com,555-3604,2024-11-28,692
CUST_1039,Customer 139,customer139@email.com,555-5286,2025-06-06,421
CUST_1040,Customer 140,customer140@email.com,555-5795,2025-11-01,132
CUST_1041,Customer 141,customer141@email.com,555-1556,2024-12-29,760
CUST_1042,Customer 142,customer142@email.com,555-6150,2025-10-16,425
CUST_1043,Customer 143,customer143@email.com,555-8561,2025-06-01,362
CUST_1044,Customer 144,customer144@email.com,555-4741,2025-09-30,926
CUST_1045,Customer 145,customer145@email.com,555-3403,2025-02-23,717
CUST_1046,Customer 146,customer146@email.com,555-9780,2025-10-27,294
CUST_1047,Customer 147,customer147@email.com,555-6343,2025-10-26,45
CUST_1048,Customer 148,customer148@email.com,555-2136,2025-03-20,16
CUST_1049,Customer 149,customer149@email.com,555-8009,2025-05-04,447
